row,ruleCode,category,reason,condition1,condition2
1293,SZ医保-1293-188e8dd251,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I62,
1294,SZ医保-1294-de31bad40d,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 K92.0,
1295,SZ医保-1295-6cc356a5fe,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 K92.1,
1296,SZ医保-1296-8f95147461,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 K92.2,
1297,SZ医保-1297-dbfea692d9,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 J40,
1298,SZ医保-1298-a24c02cc3d,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 J41,
1299,SZ医保-1299-63ecc5b419,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 J42,
1300,SZ医保-1300-4becc8efd2,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 O,
1301,SZ医保-1301-34668f8d49,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 P10-P15,
1302,SZ医保-1302-f1a0a60c09,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A18.100x019+N77.1* 外阴结核,
1303,SZ医保-1303-cc8c92c734,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A18.100x024+N74.1* 结核性直肠阴道瘘,
1304,SZ医保-1304-b70d0d0391,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A18.100x026+N74.1* 结核性输卵管炎,
1305,SZ医保-1305-0a2aaf6ea4,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A18.100x030+N77.0* 结核性外阴溃疡,
1306,SZ医保-1306-e71266f21e,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A18.111+N74.1* 子宫内膜结核,
1307,SZ医保-1307-2c6d61f83b,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A18.112+N74.0* 子宫颈结核,
1308,SZ医保-1308-8ff8e8bc9d,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A18.113+N74.1* 输卵管结核,
1309,SZ医保-1309-b4b867a4a1,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A18.114+N74.1* 卵巢结核,
1310,SZ医保-1310-a0159a286a,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A18.115+N74.1* 女性盆腔结核,
1311,SZ医保-1311-706d87d403,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A34 产科破伤风,
1312,SZ医保-1312-7601034e08,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A42.805 阴道放线菌病,
1313,SZ医保-1313-23470694c0,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A51.400x009+N74.2* 女性二期梅毒性盆腔炎,
1314,SZ医保-1314-4800674304,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A54.003 淋球菌性宫颈炎,
1315,SZ医保-1315-5a7c98ca3b,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A54.004 淋球菌性阴道炎,
1316,SZ医保-1316-c10aaa2315,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A54.005 淋球菌性外阴阴道炎,
1317,SZ医保-1317-cf46565018,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A54.102 淋球菌性前庭大腺脓肿,
1318,SZ医保-1318-e21c5c9b19,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A54.200x004+N74.3* 淋球菌性输卵管炎,
1319,SZ医保-1319-c7c7428565,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A54.201+N74.3* 淋球菌性女性盆腔炎性疾病,
1320,SZ医保-1320-0071868d0e,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A56.002 衣原体性宫颈炎,
1321,SZ医保-1321-7a964bd640,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A56.003 衣原体性阴道炎,
1322,SZ医保-1322-6388653571,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A56.004 衣原体性外阴阴道炎,
1323,SZ医保-1323-7f26933f54,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A56.100x003+N74.4* 衣原体性输卵管炎,
1324,SZ医保-1324-552a201392,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A56.100x004+N74.4* 衣原体性子宫内膜炎,
1325,SZ医保-1325-639705df2d,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A56.101+N74.4* 衣原体性女性盆腔炎性疾病,
1326,SZ医保-1326-624fa72f3a,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A59.002+N77.1* 滴虫性阴道炎,
1327,SZ医保-1327-b45c67863c,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 A60.000x003+N77.1* 外阴疱疹,
1328,SZ医保-1328-5877c57609,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 B26.800x009+N74.8* 流行性腮腺炎并发卵巢炎,
1329,SZ医保-1329-a4a19c20bc,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 B37.3 外阴和阴道念珠菌病,
1330,SZ医保-1330-30553b44ba,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C47.500x008 直肠阴道隔周围神经和自主神经恶性肿瘤,
1331,SZ医保-1331-b4f0dc07e4,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C48.100x006 直肠子宫陷凹恶性肿瘤,
1332,SZ医保-1332-a67afd9943,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C49.505 直肠阴道隔结缔组织恶性肿瘤,
1333,SZ医保-1333-c5c869a047,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C51 外阴恶性肿瘤,
1334,SZ医保-1334-b0d3eac271,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C52 阴道恶性肿瘤,
1335,SZ医保-1335-46a6ba004b,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C53 宫颈恶性肿瘤,
1336,SZ医保-1336-780accf169,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C54 子宫体恶性肿瘤,
1337,SZ医保-1337-646ba224cc,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C55 子宫部位未特指的恶性肿瘤,
1338,SZ医保-1338-8d63b99099,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C56 卵巢恶性肿瘤,
1339,SZ医保-1339-ece4966a07,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C57 女性生殖器官其他和未特指的恶性肿瘤,
1340,SZ医保-1340-dcf8c5f22e,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C58 胎盘恶性肿瘤,
1341,SZ医保-1341-7ef2b33f8f,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C76.307 直肠阴道隔恶性肿瘤,
1342,SZ医保-1342-946af44817,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C77.500x003 子宫旁淋巴结继发恶性肿瘤,
1343,SZ医保-1343-3ce630aba2,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.6 卵巢继发性恶性肿瘤,
1344,SZ医保-1344-787f379595,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x202 输卵管继发恶性肿瘤,
1345,SZ医保-1345-a513c2da9c,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x205 子宫角继发恶性肿瘤,
1346,SZ医保-1346-cab7085d67,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x206 子宫体继发恶性肿瘤,
1347,SZ医保-1347-84fa0eb3f7,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x209 子宫颈继发恶性肿瘤,
1348,SZ医保-1348-a657d99986,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x211 子宫旁继发恶性肿瘤,
1349,SZ医保-1349-669d4d1209,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x213 子宫下段继发恶性肿瘤,
1350,SZ医保-1350-56d2afe1c3,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x214 子宫韧带继发恶性肿瘤,
1351,SZ医保-1351-bf5a29f295,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x215 子宫圆韧带继发恶性肿瘤,
1352,SZ医保-1352-c062aaa856,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x216 子宫阔韧带继发恶性肿瘤,
1353,SZ医保-1353-74114630c5,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x218 子宫卵巢韧带继发恶性肿瘤,
1354,SZ医保-1354-00ecff5757,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x219 子宫骶骨韧带继发恶性肿瘤,
1355,SZ医保-1355-9991c5c989,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x220 子宫内膜继发恶性肿瘤,
1356,SZ医保-1356-30b58ac78e,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x222 子宫附件继发恶性肿瘤,
1357,SZ医保-1357-887d652a2f,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.800x223 子宫肌层继发恶性肿瘤,
1358,SZ医保-1358-5f94c30718,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.812 子宫继发恶性肿瘤,
1359,SZ医保-1359-0a2d017c9b,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.813 附件继发恶性肿瘤,
1360,SZ医保-1360-9b7567f313,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.814 阴道继发恶性肿瘤,
1361,SZ医保-1361-6c99a02f3f,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.823 前庭大腺继发恶性肿瘤,
1362,SZ医保-1362-26e041da4b,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.824 直肠阴道隔继发恶性肿瘤,
1363,SZ医保-1363-c01f0cfd45,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C79.833 纳博特腺继发恶性肿瘤,
1364,SZ医保-1364-59838d562f,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 C85.900x016 卵巢淋巴瘤,
1365,SZ医保-1365-1336df729d,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D06 宫颈原位癌,
1366,SZ医保-1366-c56e4fa24b,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D07.0 子宫内膜原位癌,
1367,SZ医保-1367-74879e4ee8,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D07.1 外阴原位癌,
1368,SZ医保-1368-8a0ffc496f,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D07.2 阴道原位癌,
1369,SZ医保-1369-2443a577b8,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D07.3 女性生殖器官其他和未特指的原位癌,
1370,SZ医保-1370-64427651a3,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D17.300x001 大阴唇脂肪瘤,
1371,SZ医保-1371-854505c273,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D17.300x003 阴道脂肪瘤,
1372,SZ医保-1372-3b020220ba,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D17.700x024 子宫体脂肪瘤,
1373,SZ医保-1373-9a54add5cb,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D18.000x817 女性生殖器血管瘤,
1374,SZ医保-1374-82a7c0bb51,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D18.000x853 卵巢血管瘤,
1375,SZ医保-1375-ca8f93a4e9,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D18.000x856 宫颈血管瘤,
1376,SZ医保-1376-d8ae3da206,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D20.103 直肠子宫陷凹良性肿瘤,
1377,SZ医保-1377-e0288a6e8c,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D21.507 阴道旁结缔组织良性肿瘤,
1378,SZ医保-1378-f7500aff7a,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D21.508 直肠阴道壁结缔组织良性肿瘤,
1379,SZ医保-1379-0e079ed3bc,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D25 子宫平滑肌瘤,
1380,SZ医保-1380-84fca7cd4d,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D26 子宫其他良性肿瘤,
1381,SZ医保-1381-84b395345d,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D27 卵巢良性肿瘤,
1382,SZ医保-1382-eefdb4783e,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D28 女性生殖器官其他和未特指的良性肿瘤,
1383,SZ医保-1383-41a3273361,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D36.100x048 直肠阴道隔周围神经和自主神经良性肿瘤,
1384,SZ医保-1384-e9f99cf62d,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D36.700x019 直肠阴道隔良性肿瘤,
1385,SZ医保-1385-b530f218b2,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D39 女性生殖器官动态未定或动态未知的肿瘤,
1386,SZ医保-1386-2eb6c55c5c,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D48.129 直肠阴道隔结缔组织动态未定肿瘤,
1387,SZ医保-1387-9715cff906,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D48.130 直肠阴道隔结缔组织肿瘤,
1388,SZ医保-1388-eabcc7e889,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D48.200x043 直肠阴道隔周围神经和自主神经交界性肿瘤,
1389,SZ医保-1389-fb5345f77e,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 D48.400x003 直肠子宫陷凹交界性肿瘤,
1390,SZ医保-1390-83c036e9d6,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 E28 卵巢功能障碍,
1391,SZ医保-1391-d466f7c877,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 E30.002 幼稚型子宫,
1392,SZ医保-1392-74631db857,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 E30.102 早发月经,
1393,SZ医保-1393-687a0a7fee,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 E89.4 操作后卵巢功能衰竭,
1394,SZ医保-1394-673ca0481a,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 F45.807 精神源性痛经,
1395,SZ医保-1395-0faf057023,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 F52.5 非器质性阴道痉挛,
1396,SZ医保-1396-a9c94c9a55,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,"全部疾病编码 F53 与产褥期有关的精神和行为障碍,不可归类在他处者",
1397,SZ医保-1397-ef8d486e0e,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I77.000x008 子宫旁动静脉瘘,
1398,SZ医保-1398-575fa02e02,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I77.009 子宫动静脉瘘,
1399,SZ医保-1399-7124e5e30b,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I86.3 外阴静脉曲张,
1400,SZ医保-1400-abbeccf1fd,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I89.000x019 阴唇淋巴水肿,
1401,SZ医保-1401-584be777e5,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I89.000x025 阴唇橡皮肿,
1402,SZ医保-1402-dff098d9d7,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I89.800x032 子宫乳糜反流,
1403,SZ医保-1403-bb3db2a341,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I89.800x033 阴道乳糜反流,
1404,SZ医保-1404-7f28ab3333,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 J45.100x002 月经期支气管哮喘,
1405,SZ医保-1405-6c509dfa1e,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 L29.2 外阴瘙痒(症),
1406,SZ医保-1406-b2de31a6b9,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 L98.800x007 月经疹,
1407,SZ医保-1407-040948269b,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 L98.800x016 女阴假性湿疣,
1408,SZ医保-1408-74a8e69104,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 M35.202+N77.8* 贝赫切特病性外阴溃疡,
1409,SZ医保-1409-a1f458b414,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 M80.0 绝经后骨质疏松伴有病理性骨折,
1410,SZ医保-1410-e0e5af0e92,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 M80.1 卵巢切除术后骨质疏松伴有病理性骨折,
1411,SZ医保-1411-76227a92de,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 M81.0 绝经后骨质疏松,
1412,SZ医保-1412-e9c90d7262,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 M81.1 卵巢切除术后骨质疏松,
1413,SZ医保-1413-ad365e0e40,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 M83.0 产褥期骨软化症,
1414,SZ医保-1414-5f34f10adf,疾病编码性别冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 N32.004 女性前列腺病,
